,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,Inv,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Month,Period,Start,End,Profit,,Etiquetas de fila,Sum of End,Etiquetas de fila,Sum of Profit,,Year,Month,Period,End Date,Start,End,Total,%,,Etiquetas de fila,Sum of End,Sum of %,Etiquetas de fila,Sum of Total,,Etiquetas de fila,Sum of End,,Anio,Start,End,Crecimiento,,total,174.74%
,2025,12,1,13938.25,15399.77,1461.5,,2021,4738.61,2021,13.06,,2025,12,1,12/15/2025,12931.30,12908.34,-22.96,160.5%,,2025,,,2025,5732.14,,1/15/2025,6862.42,,2024,-14.3%,74.70%,88.99%,,,
,2025,11,2,13315.47,13938.25,622.8,,10,1670.00,10,266.00,,2025,11,2,11/30/2025,12176.68,12931.30,754.62,163.5%,,1/15/2025,6862.42,70.0%,1/15/2025,-338.12,,1/31/2025,7472.10,,2025,74.7%,160.45%,85.75%,,,
,2025,11,1,14242.90,13315.47,-927.4,,1,1670.00,1,266.00,,2025,11,1,11/15/2025,12874.14,12176.68,-697.46,151.7%,,1/31/2025,7472.10,76.6%,1/31/2025,609.68,,2/15/2025,7803.47,,,,,,,,
,2025,10,2,14548.00,14242.90,-505.1,,11,1651.55,11,-18.45,,2025,10,2,10/31/2025,13169.37,12874.14,-295.23,166.2%,,2/15/2025,7803.47,77.1%,2/15/2025,331.36,,2/28/2025,7251.76,,,,,,,,
,2025,10,1,13041.85,14548.00,1744.1,,1,1651.55,1,-18.45,,2025,10,1,10/15/2025,12300.41,13169.37,868.96,151.3%,,2/28/2025,7251.76,52.2%,2/28/2025,-551.71,,3/15/2025,6812.65,,,,,,,,
,2025,9,2,13122.42,13041.85,-80.6,,12,1417.06,12,-234.49,,2025,9,2,9/30/2025,12474.64,12300.41,-174.22,120.5%,,3/15/2025,6812.65,38.9%,3/15/2025,-439.11,,3/31/2025,6867.05,,,,,,,,
,2025,9,1,12425.82,13122.42,696.6,,1,1417.06,1,-234.49,,2025,9,1,9/15/2025,11471.65,12474.64,1002.98,124.0%,,3/31/2025,6867.05,36.8%,3/31/2025,54.40,,4/15/2025,7057.44,,,,,,,,
,2025,8,2,12216.48,12425.82,209.3,,2022,14645.91,2022,-376.21,,2025,8,2,8/31/2025,11650.59,11471.65,-178.93,108.7%,,4/15/2025,7057.44,27.8%,4/15/2025,190.39,,4/30/2025,7654.15,,,,,,,,
,2025,8,1,11761.97,12216.48,504.5,,1,1444.19,1,27.12,,2025,8,1,8/15/2025,10925.02,11650.59,725.56,102.9%,,4/30/2025,7654.15,43.3%,4/30/2025,596.72,,5/15/2025,8751.70,,,,,,,,
,2025,7,2,11110.01,11761.97,713.3,,1,1444.19,1,27.12,,2025,7,2,7/31/2025,10331.64,10925.02,593.39,93.0%,,5/15/2025,8751.70,58.6%,5/15/2025,1097.55,,5/31/2025,8764.29,,,,,,,,
,2025,7,1,11236.54,11110.01,-126.5,,2,1370.58,2,-73.61,,2025,7,1,7/15/2025,10080.00,10331.64,251.64,86.4%,,5/31/2025,8764.29,59.7%,5/31/2025,12.59,,6/15/2025,9129.35,,,,,,,,
,2025,6,2,9838.48,11236.54,1398.1,,1,1370.58,1,-73.61,,2025,6,2,6/30/2025,9129.35,10080.00,950.65,80.6%,,6/15/2025,9129.35,66.4%,6/15/2025,365.05,,6/30/2025,10080.00,,,,,,,,
,2025,6,1,9436.75,9838.48,401.7,,3,1396.46,3,25.88,,2025,6,1,6/15/2025,8764.29,9129.35,365.05,66.4%,,6/30/2025,10080.00,80.6%,6/30/2025,950.65,,7/15/2025,10331.64,,,,,,,,
,2025,5,2,9269.41,9436.75,167.3,,1,1396.46,1,25.88,,2025,5,2,5/31/2025,8751.70,8764.29,12.59,59.7%,,7/15/2025,10331.64,86.4%,7/15/2025,251.64,,7/31/2025,10925.02,,,,,,,,
,2025,5,1,8660.63,9269.41,608.8,,4,1638.18,4,241.72,,2025,5,1,5/15/2025,7654.15,8751.70,1097.55,58.6%,,7/31/2025,10925.02,93.0%,7/31/2025,593.39,,8/15/2025,11650.59,,,,,,,,
,2025,4,2,7956.03,8660.63,704.6,,1,1638.18,1,241.72,,2025,4,2,4/30/2025,7057.44,7654.15,596.72,43.3%,,8/15/2025,11650.59,102.9%,8/15/2025,725.56419,,8/31/2025,11471.65,,,,,,,,
,2025,4,1,7985.96,7956.03,-29.9,,5,1480.52,5,-157.66,,2025,4,1,4/15/2025,6867.05,7057.44,190.39,27.8%,,8/31/2025,11471.65,108.7%,8/31/2025,-178.931385,,9/15/2025,12474.64,,,,,,,,
,2025,3,2,7829.16,7985.96,156.8,,1,1480.52,1,-157.66,,2025,3,2,3/31/2025,6812.65,6867.05,54.4,36.8%,,9/15/2025,12474.64,124.0%,9/15/2025,1002.982385,,9/30/2025,12300.41,,,,,,,,
,2025,3,1,8171.74,7829.16,-342.6,,6,1205.00,6,-275.52,,2025,3,1,3/15/2025,7251.76,6812.65,-439.1,38.9%,,9/30/2025,12300.41,120.5%,9/30/2025,-174.222308,,10/15/2025,13169.37,,,,,,,,
,2025,2,2,8966.35,8171.74,-794.6,,1,1205.00,1,-275.52,,2025,2,2,2/28/2025,7803.47,7251.76,-551.7,52.2%,,10/15/2025,13169.37,151.3%,10/15/2025,868.956783,,10/31/2025,12874.14,,,,,,,,
,2025,2,1,8735.73,8966.35,230.6,,7,1266.08,7,61.08,,2025,2,1,2/15/2025,7472.10,7803.47,331.4,77.1%,,10/31/2025,12874.14,166.2%,10/31/2025,-295.230225,,11/15/2025,12176.68,,,,,,,,
,2025,1,2,8061.03,8735.73,674.7,,1,1266.08,1,61.08,,2025,1,2,1/31/2025,6862.42,7472.10,609.7,76.6%,,11/15/2025,12176.68,151.7%,11/30/2025,754.6185,,11/30/2025,12931.30,,,,,,,,
,2025,1,1,8245.00,8061.03,-184.0,,8,592.90,8,-673.18,,2025,1,1,1/15/2025,7200.54,6862.42,-338.1,70.0%,,11/30/2025,12931.30,163.5%,11/15/2025,-697.46025,,12/15/2025,12932.68,,,,,,,,
,2024,12,2,8150.99,8245.00,94.0,,1,592.90,1,-673.18,,2024,12,2,12/31/2024,7196.30,7200.54,4.2,74.7%,,12/15/2025,12932.68,161.0%,12/15/2025,1.3837,,,,,,,,,,,
,2024,12,1,7769.70,8150.99,381.3,,9,1053.35,9,460.45,,2024,12,1,12/15/2024,6710.70,7196.30,485.6,82.0%,,,,,,,,,,,,,,,,,
